checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default,income
unknown,12,good,business,1076,< 100 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,yes,no,3320.817658
unknown,9,good,furniture/appliances,1388,< 100 DM,1 - 4 years,4,2,26,none,rent,1,skilled,1,no,no,4288.664186
unknown,36,perfect,renovations,2613,< 100 DM,1 - 4 years,4,2,27,none,own,2,skilled,1,no,no,10115.13131
unknown,6,good,furniture/appliances,1595,< 100 DM,4 - 7 years,3,2,51,none,own,1,skilled,2,no,no,4930.793133
unknown,15,critical,car,5045,unknown,> 7 years,1,4,59,none,own,1,skilled,1,yes,no,13024.61653
unknown,18,good,business,1950,< 100 DM,4 - 7 years,4,1,34,store,own,2,skilled,1,yes,no,6032.028766
unknown,6,good,car,1236,500 - 1000 DM,1 - 4 years,2,4,50,none,rent,1,skilled,1,no,no,3817.149211
1 - 200 DM,36,very good,furniture/appliances,3990,unknown,< 1 year,3,2,29,bank,own,1,skilled,1,no,no,13391.69507
> 200 DM,24,critical,business,1275,> 1000 DM,1 - 4 years,2,4,36,none,own,2,skilled,1,yes,no,3278.939684
< 0 DM,30,critical,car,10623,< 100 DM,> 7 years,3,4,38,none,other,3,management,2,yes,no,38428.51984
< 0 DM,18,good,car,4380,100 - 500 DM,1 - 4 years,3,4,35,none,own,1,unskilled,2,yes,no,10852.64897
unknown,24,critical,education,1597,< 100 DM,> 7 years,4,4,54,none,other,2,skilled,2,no,no,4111.329059
unknown,18,good,furniture/appliances,1984,< 100 DM,1 - 4 years,4,4,47,bank,other,2,skilled,1,no,no,6137.499221
< 0 DM,18,good,furniture/appliances,2659,> 1000 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,no,8231.397959
> 200 DM,24,good,furniture/appliances,1377,100 - 500 DM,> 7 years,4,2,47,none,other,1,skilled,1,yes,no,4254.541392
> 200 DM,24,critical,business,1275,> 1000 DM,1 - 4 years,2,4,36,none,own,2,skilled,1,yes,no,3278.939684
unknown,21,good,car,5248,unknown,1 - 4 years,1,3,26,none,own,1,skilled,1,no,no,16262.6629
unknown,9,critical,car,2134,< 100 DM,1 - 4 years,4,4,48,none,own,3,skilled,1,yes,no,5499.50637
unknown,27,good,renovations,5190,unknown,> 7 years,4,4,48,none,own,4,skilled,2,yes,no,16082.74271
1 - 200 DM,27,good,business,2528,< 100 DM,< 1 year,4,1,32,none,own,1,skilled,2,yes,no,7825.0265
unknown,6,poor,furniture/appliances,932,< 100 DM,1 - 4 years,3,2,24,none,own,1,skilled,1,no,no,1910.408829
unknown,27,good,renovations,5190,unknown,> 7 years,4,4,48,none,own,4,skilled,2,yes,no,16082.74271
unknown,12,good,furniture/appliances,886,unknown,1 - 4 years,4,2,21,none,own,1,skilled,1,no,no,2731.423939
> 200 DM,24,good,furniture/appliances,2892,< 100 DM,> 7 years,3,4,51,none,other,1,skilled,1,no,no,8954.180783
< 0 DM,21,good,furniture/appliances,3599,< 100 DM,4 - 7 years,1,4,26,none,rent,1,unskilled,1,no,no,8914.474259
1 - 200 DM,6,poor,business,1449,100 - 500 DM,> 7 years,1,2,31,bank,own,2,skilled,2,no,no,2979.589716
unknown,24,critical,car,1940,> 1000 DM,> 7 years,4,4,60,none,own,1,skilled,1,yes,no,4998.004697
1 - 200 DM,27,perfect,business,8318,< 100 DM,> 7 years,2,4,42,none,other,2,management,1,yes,yes,45138.30202
< 0 DM,18,good,furniture/appliances,3650,< 100 DM,< 1 year,1,4,22,none,rent,1,skilled,1,no,no,11305.55151
unknown,10,good,education,727,500 - 1000 DM,> 7 years,4,4,46,none,other,1,skilled,1,yes,no,2238.194459
unknown,48,critical,business,7629,unknown,> 7 years,4,2,46,bank,own,2,management,2,no,no,27592.98163
< 0 DM,12,critical,car,2122,< 100 DM,1 - 4 years,3,2,39,none,rent,2,unskilled,2,no,no,4371.386112
1 - 200 DM,6,very good,education,433,> 1000 DM,< 1 year,4,2,24,bank,rent,1,skilled,2,no,yes,1438.118336
< 0 DM,24,good,car,1381,unknown,1 - 4 years,4,2,35,none,own,1,skilled,1,no,yes,4266.949681
